iteration,me_cells,me_admitted,me_replaced,me_cell_size,explore_pool_best_sdy,explore_stall,explore_boost,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,sil_loss,sil_trajs,sil_windows,sil_updates,mean_reward,sum_reward,buffer_size
105,11.0,0.0,0.0,5.0,4.28,4.0,0.8,0.138874,5.879879,2.555943,0.299048,0.265625,1.606287,1.0,0.01,0.5,173.265746,11.0,2314.0,37.0,0.1247,797.7914,6400.0
106,11.0,0.0,0.0,5.0,4.28,5.0,0.8,0.082908,7.184131,2.555943,0.138603,0.25,1.876384,1.0,0.01,0.5,173.076001,11.0,2314.0,37.0,0.0126,80.3982,6400.0
107,11.0,0.0,0.0,5.0,4.28,6.0,0.8,-0.049066,8.327982,2.555943,0.141175,0.15625,2.030373,1.0,0.01,0.5,169.315771,11.0,2314.0,37.0,-0.0403,-257.8308,6400.0
108,11.0,0.0,0.0,5.0,4.28,7.0,0.8,0.068184,3.033349,2.555943,0.236426,0.265625,0.823965,1.0,0.01,0.5,177.114531,11.0,2314.0,37.0,0.1148,734.6213,6400.0
109,11.0,0.0,0.0,5.0,4.28,0.0,0.8,0.151094,9.389269,2.555943,0.16915,0.265625,2.495855,1.0,0.01,0.5,168.85994,11.0,2314.0,37.0,-0.2892,-1850.8218,6400.0
110,11.0,0.0,0.0,5.0,4.28,1.0,0.8,0.224102,9.884268,2.555943,0.50126,0.328125,2.692613,1.0,0.01,0.5,157.205682,11.0,2314.0,37.0,0.0428,273.7547,6400.0
111,11.0,0.0,0.0,5.0,4.28,2.0,0.8,-0.011561,5.771535,2.555943,0.208435,0.21875,1.428767,1.0,0.01,0.5,156.60265,11.0,2314.0,37.0,0.057,365.072,6400.0
112,11.0,0.0,0.0,5.0,4.28,3.0,0.8,-0.093794,11.418272,2.555943,0.463418,0.21875,2.758219,1.0,0.01,0.5,153.819733,11.0,2314.0,37.0,-0.0022,-14.1347,6400.0
113,11.0,0.0,0.0,5.0,4.28,4.0,0.8,0.189623,2.793185,2.555943,0.1833,0.171875,0.885364,1.0,0.01,0.5,156.736926,11.0,2314.0,37.0,0.1143,731.6816,6400.0
114,11.0,0.0,0.0,5.0,4.28,5.0,0.8,-0.115126,9.201319,2.555943,0.367919,0.265625,2.182647,1.0,0.01,0.5,150.489879,11.0,2314.0,37.0,-0.0433,-277.2605,6400.0
115,11.0,1.0,1.0,5.0,4.28,6.0,0.8,0.179079,7.233054,2.555943,0.157691,0.15625,1.984786,1.0,0.01,0.5,147.603144,11.0,2316.0,37.0,0.1066,682.2922,6400.0
116,11.0,1.0,1.0,5.0,4.28,7.0,0.8,-0.017954,5.353123,2.555943,0.238417,0.203125,1.31777,1.0,0.01,0.5,168.581627,11.0,2551.0,40.0,-0.2492,-1595.0861,6400.0
117,11.0,0.0,0.0,5.0,4.28,0.0,0.8,0.095207,6.474515,2.555943,0.209182,0.25,1.71128,1.0,0.01,0.5,164.813182,11.0,2551.0,40.0,-0.101,-646.4796,6400.0
118,11.0,0.0,0.0,5.0,4.28,1.0,0.8,-0.042324,5.521283,2.555943,0.200981,0.203125,1.335441,1.0,0.01,0.5,161.44855,11.0,2551.0,40.0,0.1136,727.2892,6400.0
119,11.0,0.0,0.0,5.0,4.28,2.0,0.8,0.097719,8.497183,2.555943,0.338241,0.375,2.219459,1.0,0.01,0.5,157.61302,11.0,2551.0,40.0,-0.03,-192.1291,6400.0
120,11.0,1.0,1.0,5.0,4.28,3.0,0.8,0.003539,3.461747,2.555943,0.398457,0.265625,0.86642,1.0,0.01,0.5,174.5548,11.0,2498.0,40.0,0.0391,250.1792,6400.0
121,11.0,1.0,1.0,5.0,4.28,4.0,0.8,0.183332,6.461636,2.555943,0.111055,0.15625,1.796184,1.0,0.01,0.5,163.296844,11.0,2456.0,39.0,0.1186,758.8967,6400.0
122,11.0,0.0,0.0,5.0,4.28,5.0,0.8,-0.022336,7.807983,2.555943,0.431501,0.265625,1.927103,1.0,0.01,0.5,165.313432,11.0,2456.0,39.0,-0.4906,-3139.8052,6400.0
123,11.0,0.0,0.0,5.0,4.28,6.0,0.8,-0.150512,9.519068,2.555943,0.356861,0.1875,2.226699,1.0,0.01,0.5,157.567897,11.0,2456.0,39.0,0.1136,726.8431,6400.0
124,11.0,0.0,0.0,5.0,4.28,7.0,0.8,0.027398,6.627736,2.555943,0.293702,0.3125,1.681776,1.0,0.01,0.5,158.154934,11.0,2456.0,39.0,-0.0605,-387.4345,6400.0
125,11.0,0.0,0.0,5.0,4.28,0.0,0.8,0.033117,3.447378,2.555943,0.094442,0.21875,0.892405,1.0,0.01,0.5,153.337964,11.0,2456.0,39.0,0.103,658.973,6400.0
126,11.0,0.0,0.0,5.0,4.28,1.0,0.8,-0.106805,7.755373,2.555943,0.242834,0.234375,1.829482,1.0,0.01,0.5,152.450233,11.0,2456.0,39.0,-0.2578,-1649.8563,6400.0
127,11.0,0.0,0.0,5.0,4.28,2.0,0.8,0.035882,5.513235,2.555943,0.402619,0.359375,1.411635,1.0,0.01,0.5,148.91425,11.0,2456.0,39.0,0.1319,844.3751,6400.0
128,11.0,0.0,0.0,5.0,4.28,3.0,0.8,0.02193,5.016471,2.555943,0.220366,0.140625,1.273492,1.0,0.01,0.5,144.473013,11.0,2456.0,39.0,-0.2178,-1394.2072,6400.0
129,11.0,0.0,0.0,5.0,4.28,4.0,0.8,0.09726,8.425199,2.555943,0.455881,0.390625,2.201004,1.0,0.01,0.5,142.167419,11.0,2456.0,39.0,0.1204,770.3327,6400.0
130,11.0,0.0,0.0,5.0,4.28,5.0,0.8,0.136029,4.954596,2.555943,0.525784,0.28125,1.372122,1.0,0.01,0.5,139.14224,11.0,2456.0,39.0,0.1013,648.1519,6400.0
131,11.0,0.0,0.0,5.0,4.28,6.0,0.8,-0.022459,8.923344,2.555943,0.238917,0.265625,2.205821,1.0,0.01,0.5,139.483534,11.0,2456.0,39.0,-0.1572,-1006.3922,6400.0
132,11.0,0.0,0.0,5.0,4.28,7.0,0.8,0.068105,3.643653,2.555943,0.335252,0.21875,0.976462,1.0,0.01,0.5,137.695473,11.0,2456.0,39.0,0.0134,85.7517,6400.0
133,11.0,1.0,1.0,5.0,4.28,0.0,0.8,-0.048579,7.226386,2.555943,0.430939,0.3125,1.755461,1.0,0.01,0.5,134.127993,11.0,2315.0,37.0,-0.1205,-771.315,6400.0
134,11.0,0.0,0.0,5.0,4.28,1.0,0.8,0.066706,4.676066,2.555943,0.582175,0.3125,1.233166,1.0,0.01,0.5,138.529518,11.0,2315.0,37.0,0.0434,278.0287,6400.0
135,11.0,0.0,0.0,5.0,4.28,2.0,0.8,0.017457,11.127439,2.555943,0.403783,0.25,2.796761,1.0,0.01,0.5,129.834733,11.0,2315.0,37.0,-0.1114,-713.0566,6400.0
136,11.0,0.0,0.0,5.0,4.28,3.0,0.8,0.038425,6.577416,2.555943,0.38715,0.359375,1.680223,1.0,0.01,0.5,125.558491,11.0,2315.0,37.0,0.0979,626.4802,6400.0
137,11.0,0.0,0.0,5.0,4.28,4.0,0.8,-0.141936,8.701623,2.555943,0.251563,0.203125,2.030914,1.0,0.01,0.5,122.286439,11.0,2315.0,37.0,-0.1327,-849.5765,6400.0
138,11.0,0.0,0.0,5.0,4.28,5.0,0.8,-0.117422,4.972236,2.555943,0.216481,0.21875,1.123081,1.0,0.01,0.5,119.572715,11.0,2315.0,37.0,-0.0856,-547.822,6400.0
139,11.0,0.0,0.0,5.0,4.28,6.0,0.8,-0.111416,8.053528,2.555943,0.501808,0.34375,1.89941,1.0,0.01,0.5,119.326455,11.0,2315.0,37.0,-0.2081,-1331.6634,6400.0
140,11.0,0.0,0.0,5.0,4.28,7.0,0.8,0.121833,4.881539,2.555943,0.293756,0.328125,1.339662,1.0,0.01,0.5,133.635837,11.0,2315.0,37.0,0.0236,150.8355,6400.0
141,11.0,1.0,1.0,5.0,4.28,0.0,0.8,0.194048,5.006372,2.555943,0.308685,0.359375,1.443086,1.0,0.01,0.5,142.693878,11.0,2370.0,38.0,0.151,966.2976,6400.0
142,11.0,0.0,0.0,5.0,4.28,1.0,0.8,0.252812,26.075567,2.555943,0.38341,0.3125,6.769148,1.0,0.01,0.5,133.361925,11.0,2370.0,38.0,-0.2134,-1365.8456,6400.0
143,11.0,0.0,0.0,5.0,4.28,2.0,0.8,-0.020225,9.208187,2.555943,0.562571,0.4375,2.279266,1.0,0.01,0.5,130.71561,11.0,2370.0,38.0,0.1169,747.8933,6400.0
144,11.0,0.0,0.0,5.0,4.28,3.0,0.8,-0.214346,10.013937,2.555943,0.591399,0.328125,2.286582,1.0,0.01,0.5,124.730651,11.0,2370.0,38.0,0.0972,622.1103,6400.0
145,11.0,0.0,0.0,5.0,4.28,4.0,0.8,-0.008274,7.225721,2.555943,0.159182,0.1875,1.795601,1.0,0.01,0.5,127.761447,11.0,2370.0,38.0,-0.1854,-1186.6109,6400.0
146,11.0,0.0,0.0,5.0,4.28,5.0,0.8,-0.059291,7.647174,2.555943,0.44358,0.34375,1.849947,1.0,0.01,0.5,119.692274,11.0,2370.0,38.0,-0.1012,-647.9448,6400.0
147,11.0,0.0,0.0,5.0,4.28,6.0,0.8,0.032335,17.074257,2.555943,0.111852,0.203125,4.298344,1.0,0.01,0.5,113.210441,11.0,2370.0,38.0,-0.542,-3468.7084,6400.0
148,11.0,1.0,1.0,5.0,4.28,7.0,0.8,0.042877,5.159382,2.555943,0.199392,0.203125,1.330166,1.0,0.01,0.5,127.074656,11.0,2517.0,40.0,-0.342,-2188.7381,6400.0
149,11.0,0.0,0.0,5.0,4.28,0.0,0.8,0.070889,6.240319,2.555943,0.326142,0.28125,1.628413,1.0,0.01,0.5,125.375853,11.0,2517.0,40.0,-0.1561,-998.8862,6400.0
150,11.0,0.0,0.0,5.0,4.28,1.0,0.8,-0.059354,11.579103,2.555943,0.423683,0.234375,2.832866,1.0,0.01,0.5,118.986188,11.0,2517.0,40.0,-0.0122,-78.017,6400.0
151,11.0,0.0,0.0,5.0,4.28,2.0,0.8,0.018741,5.025267,2.555943,0.22829,0.21875,1.272501,1.0,0.01,0.5,118.649367,11.0,2517.0,40.0,-0.0396,-253.2524,6400.0
152,11.0,0.0,0.0,5.0,4.28,3.0,0.8,-0.057825,6.064111,2.555943,0.265541,0.28125,1.455647,1.0,0.01,0.5,116.113065,11.0,2517.0,40.0,-0.1119,-716.4127,6400.0
