iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size,sil_loss,sil_trajs,sil_windows,sil_updates
69,0.05689,23.126612,-0.36123,0.015167,0.178125,5.838905,5.0,0.019683,0.5,,-0.151,-755.0269,5000.0,89.157384,20.0,8257.0,40.0
70,-0.050281,18.352577,-0.361308,0.014432,0.144531,4.538225,4.0,0.019683,0.5,,-0.1984,-992.1168,5000.0,88.91804,20.0,8412.0,40.0
71,0.00724,10.69391,-0.361288,0.017108,0.136719,2.681079,4.0,0.019683,0.5,,-0.233,-1164.9721,5000.0,84.385319,20.0,8412.0,40.0
72,0.043832,13.807069,-0.361284,0.020162,0.148438,3.49596,6.0,0.019683,0.5,,-0.206,-1030.0901,5000.0,90.838507,20.0,8412.0,40.0
73,-0.036941,23.346156,-0.361238,0.015033,0.134375,5.79996,5.0,0.019683,0.5,,-0.2178,-1088.7684,5000.0,93.678259,20.0,8412.0,40.0
74,0.041426,20.254812,-0.36118,0.02223,0.175781,5.10549,4.0,0.019683,0.5,,-0.2109,-1054.3573,5000.0,90.420821,20.0,8412.0,40.0
75,0.038274,24.818309,-0.361157,0.014177,0.125,6.243213,5.0,0.019683,0.5,,-0.1935,-967.4691,5000.0,86.526547,20.0,8412.0,40.0
76,-0.0653,22.851219,-0.361124,0.017092,0.140625,5.647866,3.0,0.019683,0.5,,-0.1923,-961.3127,5000.0,85.449118,20.0,8412.0,40.0
77,0.040527,12.069321,-0.361077,0.018786,0.225,3.058218,5.0,0.019683,0.5,,-0.1859,-929.7408,5000.0,86.750871,20.0,8412.0,40.0
78,0.078028,16.99043,-0.361029,0.014717,0.11875,4.325996,5.0,0.019683,0.5,,-0.1982,-990.9186,5000.0,85.404104,20.0,8376.0,40.0
79,-0.019225,24.84659,-0.361062,0.022542,0.213542,6.192784,6.0,0.019683,0.5,,-0.2035,-1017.293,5000.0,90.246431,20.0,8409.0,40.0
