iteration,me_cells,me_admitted,me_replaced,explore_pool_best_sdy,explore_stall,explore_boost,explore_std,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,sil_loss,sil_trajs,sil_windows,sil_updates,mean_reward,sum_reward,buffer_size
301,7,2,1,3.8442102670669556,4,0.0,0.9792680144309998,0.16728965938091278,9.724479675292969,1.5138471126556396,0.03475753217935562,0.15625,2.596895694732666,1.0,0.015943230000000003,0.5,133.78950023651123,7.0,1248.0,20.0,0.09226713863030278,369.0685545212111,4000.0
302,7,2,2,3.8442102670669556,5,0.0,0.9792715311050415,0.29913222789764404,10.303497314453125,1.5138397216796875,0.11771906167268753,0.125,2.87349271774292,1.0,0.014348907000000003,0.5,136.09944870892693,7.0,1061.0,17.0,-0.11282609162193233,-451.30436648772934,4000.0
303,7,2,2,3.8442102670669556,6,0.0,0.9792702198028564,-0.0069366395473480225,12.770217895507812,1.51384699344635,0.09055798500776291,0.125,3.1841039657592773,1.0,0.012914016300000003,0.5,154.61336517333984,7.0,1158.0,19.0,0.13094762945602248,523.7905178240899,4000.0
304,7,0,0,3.8442102670669556,7,0.0,0.9792671203613281,-0.17134185135364532,11.039440155029297,1.5138442516326904,0.08746962994337082,0.140625,2.5870041847229004,1.0,0.011622614670000003,0.5,119.32794048911647,7.0,1158.0,19.0,-0.17016803254191223,-680.6721301676489,4000.0
305,7,1,1,3.8442102670669556,0,0.2,1.0,-0.042745113372802734,9.127761840820312,1.5138378143310547,0.03888730704784393,0.140625,2.2376816272735596,1.0,0.010460353203000003,0.5,92.97686376069721,7.0,1157.0,19.0,0.0922538915696128,369.0155662784512,4000.0
306,7,0,0,3.8442102670669556,1,0.2,1.0,0.10643456876277924,4.200384616851807,1.5559426546096802,0.1546301245689392,0.15625,1.1549748182296753,1.0,0.01,0.5,73.52980041503906,7.0,1157.0,19.0,0.014944781549674808,59.77912619869923,4000.0
307,7,0,0,3.8442102670669556,2,0.2,1.0,-0.025217417627573013,9.909342765808105,1.5559426546096802,0.36400192975997925,0.25,2.4505622386932373,1.0,0.01,0.5,70.6313247680664,7.0,1157.0,19.0,-0.09393789904357547,-375.7515961743019,4000.0
308,7,0,0,3.8442102670669556,3,0.2,1.0,0.0978134274482727,6.9978766441345215,1.5559426546096802,0.07521020621061325,0.09375,1.845726728439331,1.0,0.01,0.5,65.902048512509,7.0,1157.0,19.0,0.1635960354947984,654.3841419791936,4000.0
309,7,0,0,3.8442102670669556,4,0.2,1.0,0.03275686129927635,6.149401664733887,1.5559426546096802,0.15568888187408447,0.21875,1.5685513019561768,1.0,0.01,0.5,68.75610582452072,7.0,1157.0,19.0,0.11406242965770483,456.2497186308193,4000.0
310,8,1,0,3.8442102670669556,5,0.2,1.0,0.046509213745594025,5.198352813720703,1.5559426546096802,0.0647587925195694,0.09375,1.3445415496826172,1.0,0.01,0.5,98.16665865027386,8.0,1459.0,23.0,0.07794648132409876,311.785925296395,4000.0
311,9,1,0,3.8442102670669556,6,0.2,1.0,0.03429238498210907,14.556304931640625,1.5559426546096802,0.10117082297801971,0.0625,3.6718127727508545,1.0,0.01,0.5,115.90504876498518,9.0,1841.0,29.0,-0.2558945904632351,-1023.5783618529404,4000.0
312,9,2,2,3.8442102670669556,7,0.2,1.0,0.11228708177804947,9.913131713867188,1.5559426546096802,0.08443336188793182,0.171875,2.5890140533447266,1.0,0.01,0.5,122.73603294635642,9.0,1849.0,29.0,-0.10765268647892191,-430.61074591568763,4000.0
