iteration,policy_loss,value_loss,entropy,approx_kl,clip_fraction,total_loss,n_updates,target_kl,max_grad_norm,value_only,mean_reward,sum_reward,buffer_size,sil_loss,sil_trajs,sil_windows,sil_updates
104,0.027145,24.21739,-0.361613,0.010969,0.125,6.081854,3.0,0.011623,0.5,,0.2685,1342.4787,5000.0,88.689245,20.0,8206.0,40.0
105,0.058296,15.887263,-0.361559,0.016184,0.067708,4.030473,3.0,0.011623,0.5,,0.2236,1118.0879,5000.0,89.938628,20.0,8206.0,40.0
106,0.029259,12.891343,-0.361537,0.018334,0.16875,3.252456,5.0,0.01046,0.5,,0.2375,1187.3818,5000.0,88.023082,20.0,8206.0,40.0
107,0.009058,21.991749,-0.361563,0.011802,0.140625,5.507357,4.0,0.01046,0.5,,0.2861,1430.545,5000.0,83.49953,20.0,8206.0,40.0
108,0.117513,55.296824,-0.361606,0.007032,0.078125,13.942081,3.0,0.01046,0.5,,-0.251,-1254.9273,5000.0,82.492191,20.0,8206.0,40.0
109,-0.121893,19.953578,-0.361605,0.010665,0.114583,4.866863,3.0,0.01046,0.5,,-0.1168,-584.2153,5000.0,81.459914,20.0,8206.0,40.0
110,0.036916,31.504001,-0.361552,0.011881,0.132812,7.913278,4.0,0.01046,0.5,,0.2572,1285.7992,5000.0,83.748651,20.0,8206.0,40.0
111,0.030134,30.43494,-0.361524,0.019282,0.078125,7.63923,3.0,0.01,0.5,,0.2682,1340.7502,5000.0,88.682722,20.0,8141.0,40.0
112,-0.01034,25.046632,-0.361567,0.008608,0.09375,6.251679,4.0,0.01,0.5,,0.2791,1395.4097,5000.0,88.098366,20.0,8136.0,40.0
113,0.034988,13.945434,-0.361619,0.011295,0.15625,3.521708,3.0,0.01,0.5,,0.2548,1274.1796,5000.0,88.576614,20.0,8136.0,40.0
114,-0.061037,21.474508,-0.361747,0.031112,0.145833,5.307952,6.0,0.01,0.5,,0.3009,1504.6225,5000.0,89.750308,20.0,8136.0,40.0
115,0.159189,42.319569,-0.361872,0.007018,0.072917,10.739443,3.0,0.01,0.5,,0.2587,1293.465,5000.0,89.470534,20.0,8136.0,40.0
116,-0.050967,32.124565,-0.361955,0.008724,0.109375,7.980537,3.0,0.01,0.5,,0.2774,1387.1218,5000.0,87.976159,20.0,8232.0,40.0
117,0.085264,19.470135,-0.36202,0.007703,0.072917,4.95316,3.0,0.01,0.5,,0.254,1269.9522,5000.0,87.954787,20.0,8232.0,40.0
118,-0.031585,19.279954,-0.362142,0.008785,0.088542,4.788766,3.0,0.01,0.5,,0.2721,1360.5686,5000.0,84.833661,20.0,8232.0,40.0
119,0.074572,34.006984,-0.362311,0.007128,0.070312,8.57668,4.0,0.01,0.5,,0.2975,1487.3717,5000.0,88.505242,20.0,8232.0,40.0
120,-0.05377,15.192081,-0.362536,0.01089,0.09375,3.744613,4.0,0.01,0.5,,0.2704,1352.0941,5000.0,85.228794,20.0,8134.0,40.0
121,-0.005809,45.419614,-0.362776,0.012414,0.125,11.349457,4.0,0.01,0.5,,0.3316,1657.956,5000.0,87.226012,20.0,7989.0,40.0
122,0.035758,32.234984,-0.362904,0.009767,0.101562,8.094867,2.0,0.01,0.5,,0.2452,1225.8761,5000.0,90.64588,20.0,7989.0,40.0
123,0.15457,33.552142,-0.362954,0.009945,0.09375,8.542969,3.0,0.01,0.5,,0.3123,1561.3487,5000.0,92.667343,20.0,7989.0,40.0
124,0.103858,47.806814,-0.36298,0.015061,0.074219,12.055924,4.0,0.01,0.5,,0.2617,1308.4183,5000.0,85.60882,20.0,7989.0,40.0
125,0.01607,35.606508,-0.363009,0.007464,0.067708,8.91806,3.0,0.01,0.5,,0.2389,1194.5739,5000.0,82.363324,20.0,7989.0,40.0
